batch_id,material_id,manufacturing_site,manufacture_date,expiry_date,quantity,batch_status
BAT-0000001,MAT-00020,ES_BAR_01,2025-02-18,2027-02-18,24340,RELEASED
BAT-0000002,MAT-00406,FR_LYON_01,2023-05-26,2026-05-26,32754,RELEASED
BAT-0000003,MAT-00264,HU_BUD_01,2023-11-08,2026-11-08,35947,REJECTED
BAT-0000004,MAT-00487,HU_BUD_01,2023-09-25,2024-09-25,3882,REJECTED
BAT-0000005,MAT-00420,FR_LYON_01,2023-11-01,2024-11-01,6374,RELEASED
BAT-0000006,MAT-00428,HU_BUD_01,2025-03-21,2027-03-21,39239,REWORK
BAT-0000007,MAT-00140,FR_LYON_02,2023-10-30,2024-04-30,3306,RELEASED
BAT-0000008,MAT-00096,FR_LYON_01,2025-01-04,2026-07-04,18140,REJECTED
BAT-0000009,MAT-00268,FR_LYON_01,2025-08-06,2026-02-06,40912,RELEASED
BAT-0000010,MAT-00332,ES_BAR_01,2024-02-02,2027-02-02,43623,QUARANTINE
BAT-0000011,MAT-00086,FR_LYON_02,2025-06-28,2026-12-28,3383,REJECTED
BAT-0000012,MAT-00138,ES_BAR_01,2024-11-24,2027-11-24,4710,REWORK
BAT-0000013,MAT-00283,FR_LYON_01,2024-04-10,2026-04-10,47847,REWORK
BAT-0000014,MAT-00367,HU_BUD_01,2025-09-16,2027-09-16,27292,RELEASED
BAT-0000015,MAT-00043,ES_BAR_01,2025-03-24,2025-09-24,43668,QUARANTINE
BAT-0000016,MAT-00294,ES_BAR_01,2025-04-30,2028-04-30,27936,RELEASED
BAT-0000017,MAT-00020,FR_LYON_02,2025-12-04,2026-06-04,8247,RELEASED
BAT-0000018,MAT-00009,ES_BAR_01,2025-04-11,2028-04-11,32744,RELEASED
BAT-0000019,MAT-00387,HU_BUD_01,2024-01-13,2026-01-13,5811,QUARANTINE
BAT-0000020,MAT-00048,FR_LYON_02,2023-09-03,2024-09-03,44995,REJECTED
BAT-0000021,MAT-00207,ES_BAR_01,2023-08-25,2025-02-25,26177,RELEASED
BAT-0000022,MAT-00096,FR_LYON_02,2024-11-20,2025-05-20,43986,RELEASED
BAT-0000023,MAT-00154,FR_LYON_02,2024-01-02,2025-01-02,14290,REWORK
BAT-0000024,MAT-00422,HU_BUD_01,2024-09-05,2025-03-05,30136,RELEASED
BAT-0000025,MAT-00050,FR_LYON_01,2025-10-22,2028-10-22,40289,QUARANTINE
BAT-0000026,MAT-00455,FR_LYON_01,2024-01-02,2025-07-02,14492,RELEASED
BAT-0000027,MAT-00392,HU_BUD_01,2025-01-27,2026-01-27,500,RELEASED
BAT-0000028,MAT-00113,FR_LYON_01,2023-08-12,2024-08-12,24789,RELEASED
BAT-0000029,MAT-00008,FR_LYON_02,2023-10-31,2024-04-30,21620,RELEASED
BAT-0000030,MAT-00276,FR_LYON_02,2025-02-02,2026-02-02,13187,RELEASED
